cid,text,time,author,channel,votes,photo,heart
UgyeWya-MYHNGTsKFPN4AaABAg,"can somone point me to more songs with this kind of build? i remember as a kid playing wow wow ""dubstep"" at the time and my favorite sound was that and i cant find anything.",4 months ago,GimmeDa Noot,UC-MWfxbI34i7Uy5GUGtzKOQ,1,https://yt3.ggpht.com/ytc/AKedOLQ6jMvByxd-w9L_tuuqfADmOan5_kU7KGVA11rn=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzMQLQCNHz3uGsiJx4AaABAg,"Господи, будь ласка, додай розуму любителям популістів, щоби самі мали розум розібратися в тому, що відбувається в тому обесті, де живуть сами.",4 months ago,zOVENz PC,UCDscoo6FHxzMbD1mnNVQGhw,0,https://yt3.ggpht.com/ytc/AKedOLSlDlkSgJP9LghFJQtLhAnVnVtqKJ5_TRlxQrfz0Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzMQLQCNHz3uGsiJx4AaABAg.9RioZMZRucZ9SjJQ-YIvLi,"Женіть популістів геть, Європа!!! Ми вже дуже навчилися в Україні!!! Зеленський\Єрмак\Коломойський - це вор, крадій!!! Даю зелену карту на ліквідацію будь-кого з цих покидьків!!! Вони - зганьбили честь і славу моєї держави Україна!!!",3 months ago (edited),zOVENz PC,UCDscoo6FHxzMbD1mnNVQGhw,0,https://yt3.ggpht.com/ytc/AKedOLSlDlkSgJP9LghFJQtLhAnVnVtqKJ5_TRlxQrfz0Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR6mZQJulNEhgiPU14AaABAg,Leaving reality behind when in meanwhile time passes by and life evolves,4 months ago (edited),hayik06,UCWsk-mBq5lQjo8aGniG7h2Q,2,https://yt3.ggpht.com/ytc/AKedOLSUhmRE1yurD-_R0yNeqYnvZCNTuYLLRXVOK2Uz3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxL6xdjinNykffA0XB4AaABAg,This song would go perfect in blade runner,4 months ago,Sean Whalen,UCqUII_ieOH2kJ_9MBhyuTmA,0,https://yt3.ggpht.com/ytc/AKedOLT4k0CvL0DHyQnbtLUYFI6ZKMZUts1V-_oPHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQ0e4nisHDfVR86Y14AaABAg,Llevo como 11 meses escuchando esto y es muy viciosa y rara misteriosa y eso me encanta,4 months ago,Lautaro Milano,UCsnn-KAtsLagBKl4hdMPXpw,0,https://yt3.ggpht.com/p7dLSh76UpvMQST7vHO0AJ2LrfcqEGODGf1y34nCjOtx0ewEAyEwImoyxBZMJxfXe4YZsZyA7FY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlpiNU-sW26Bv-8El4AaABAg,Uff,4 months ago,Jaime Rodríguez,UCszpDS70P2Q0Zg1uYmLNF-w,0,https://yt3.ggpht.com/ytc/AKedOLT0h4S8uXwzR6ka8__1B3uIBqdPJuCLOg2offKR8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbybZIX_yh2gX-ARl4AaABAg,<3,4 months ago,Leopold Zacherl,UCoAtaHJ4GWK2y5UQY2KyL6Q,3,https://yt3.ggpht.com/ytc/AKedOLRBGkf5bdajK1-BDmnIXqwM1CEplyc9pYC9uPYINw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_0RKphNHfo9iFz_J4AaABAg,"This song reminds me of a guy traveling during dark hours alone by train, waiting in stations, hopping from one train to another, mixing with crowds or standing alone, the only light he's seeing is artificial light from the station or the passing train wagons, nothing else.
It's cold outside, he has a long jacket and his leather suitcase.",4 months ago,Stallacktit,UCuWnbOFQDmNgTFhoPfw0v7w,0,https://yt3.ggpht.com/ytc/AKedOLSDeGgskzxP0Yq7c1Vv47GD3AA-vmmd9JH7z2GE=s176-c-k-c0x00ffffff-no-rj,0.0
UgydNT5CC3a5KLr2Ju14AaABAg,"Well, it’s good. In a way. Impressive. Why no one mentioned the underlying sound of „cold song“ by Purcell? You’d love this in case you didn’t know it: https://youtu.be/Uf6ViwumljY",4 months ago,Misia Mistrani,UCCsPdql-N7zL_ups0MLsVPw,0,https://yt3.ggpht.com/ytc/AKedOLTNEPSauQFR6pNih-XDNx144tBe9I6mhKW7Dmz-=s176-c-k-c0x00ffffff-no-rj,0.0
